LoadedPanels,Conc,Scaling,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39
VIM,1.00E+04,2.900945053,-0.002089296,-0.003438554,-0.002231483,-0.001128008,0.000575014,0.002630167,0.001587327,0.001813053,0.001717624,0.002289224,0.001077122,0.001261155,0.001886631,0.001914949,0.000507586,-0.001267986,1.91E-05,0.001540663,0.001387236,0.005853401,0.01649791,0.03633058,0.08231726,0.1626633,0.2964219,0.4807938,0.6963917,0.9092578,1.119492,1.31594,1.49629,1.670628,1.829032,1.977622,2.109384,2.236136,2.351676,2.458582,2.549289,2.636999
NDM,1.00E+04,2.527008774,0.000869647,-0.001441238,-0.002053933,-0.00035837,-0.000996654,0.001579991,0.000188573,0.000480225,6.93E-05,0.000555846,0.002755699,-0.000463424,0.001257608,0.001256774,0.000807763,0.000460994,-0.002859953,0.000178986,-0.000499911,-0.000681045,0.002474542,0.007710353,0.01959131,0.04615319,0.09880345,0.1884121,0.3324245,0.5200813,0.7403885,0.9743876,1.205164,1.426428,1.624628,1.802796,1.957516,2.087962,2.188565,2.266916,2.31894,2.34912
KPC,1.00E+04,3.173091814,-0.00234157,-0.001462097,-0.000843921,0.001199433,0.000163376,0.001006239,8.35E-05,0.000761888,0.000546107,0.00188622,0.001734948,3.70E-05,-5.00E-05,-0.000387818,0.001804299,-0.000126397,0.00033919,0.000587263,0.002765596,0.005423707,0.01372395,0.0291413,0.061813,0.1254341,0.2376176,0.408617,0.6433753,0.9101573,1.186736,1.445468,1.684664,1.899823,2.090091,2.263908,2.41377,2.55058,2.675556,2.778491,2.875429,2.953253
VIM_NDM,1.00E+04,2.880412103,-0.001410304,0.000697882,-0.000743661,-0.000815943,2.89E-05,-0.000503906,0.001229796,0.000425469,0.000886575,0.000341308,0.000786548,0.000706379,0.000533612,0.001650743,-0.001581166,0.001157513,0.000481131,0.001388722,0.00340651,0.01047545,0.02699323,0.06086842,0.1263441,0.2404369,0.4197336,0.6512353,0.9086986,1.161691,1.400987,1.623652,1.819224,1.994443,2.151108,2.287434,2.404559,2.500241,2.578461,2.646096,2.699013,2.747796
VIM_KPC,1.00E+04,3.217003558,-0.008593274,-0.00193661,-0.001094775,-0.00034854,0.003361387,0.002099972,0.002861009,0.002201513,0.002125283,0.002291308,0.001518283,0.001115699,0.002753628,0.001340851,-0.000399141,0.00162712,-0.001330611,0.000731752,0.000134688,0.002232253,0.007941451,0.02282161,0.0478323,0.0972577,0.1915453,0.3454199,0.557953,0.8091403,1.078485,1.347964,1.597483,1.829285,2.03322,2.218376,2.38051,2.528939,2.657375,2.769185,2.870129,2.961783
NDM_KPC,1.00E+04,3.23761547,-0.008058817,-0.00125133,0.000416626,0.000389387,0.002383584,0.00165811,0.002511651,0.002229535,0.00135132,0.002668336,0.00143755,0.000449241,0.000815921,0.001189877,0.000751452,0.000369746,0.002038803,0.003189931,0.008464645,0.02241099,0.04821661,0.0997654,0.1929048,0.3420871,0.5584286,0.8189217,1.099749,1.372431,1.629457,1.858467,2.063377,2.243569,2.402381,2.54223,2.668148,2.77561,2.874349,2.955405,3.028302,3.089298
VIM_NDM_KPC,1.00E+04,3.222089706,-0.005852703,-0.002881027,-0.002781762,0.000773036,0.001787481,0.000875742,0.002620905,0.00226623,0.002362908,0.003788404,0.001847348,0.002679154,0.001876345,0.00082214,-0.001076029,0.000411909,-0.000937851,-0.000431809,-0.00017755,0.002632705,0.006322087,0.0172532,0.03889477,0.08411064,0.1658274,0.3129748,0.5300739,0.8020492,1.100742,1.398422,1.668881,1.909032,2.119811,2.307074,2.467132,2.611837,2.73861,2.847464,2.939777,3.026635
VIM,1.00E+04,2.829571352,-0.008359605,-0.002189472,-0.000674835,0.000495468,0.002710654,0.001386475,0.002906312,0.002413879,0.003729976,0.001750141,0.001037342,0.003109231,0.000655365,0.000604169,0.001709883,-0.001429903,-0.001071525,-0.000626218,0.002122525,0.006933264,0.01796936,0.03976231,0.08650186,0.1691617,0.305661,0.4856169,0.6930112,0.9005685,1.100333,1.290941,1.467367,1.635592,1.791171,1.928727,2.062132,2.18326,2.295567,2.396598,2.485344,2.569115
NDM,1.00E+04,2.40853767,-0.006340925,-0.001844602,-0.001173333,0.001590607,0.00193333,0.002759406,0.002440027,9.70E-05,0.002292429,0.001831079,0.001216646,0.001538438,0.000558155,0.000582485,-0.001263777,-0.00067869,-0.00084032,-0.000744883,-0.001182534,-0.000628302,0.006287631,0.01919308,0.04544856,0.09912001,0.1934716,0.3387556,0.5211464,0.7312775,0.9482293,1.167209,1.373177,1.56342,1.730656,1.875411,1.997364,2.097656,2.172417,2.22022,2.251442,2.272154
KPC,1.00E+04,3.077768037,-0.007129569,-0.003735538,0.000680703,0.00023825,0.001350305,0.002768929,0.002429009,0.001363119,0.002078511,0.00219766,0.002265842,0.001504703,0.002082733,0.001655833,0.000177679,-0.000161204,-0.000722505,-0.002036066,0.000124635,0.001472026,0.005391248,0.0132611,0.03007576,0.06769329,0.1345905,0.248139,0.4283068,0.6574754,0.9181157,1.183069,1.429911,1.659136,1.864952,2.052792,2.21771,2.37064,2.502008,2.618079,2.718746,2.81475
VIM_NDM,1.00E+04,2.813658188,-0.009445312,-0.00192045,-1.33E-05,0.001733965,0.001952052,0.001753585,0.003208812,0.001975244,0.002051853,0.002503004,0.002474206,0.001410798,0.000685445,0.00034779,-6.17E-05,-0.000718093,-0.000401006,1.70E-05,0.00037633,0.000842488,0.005701776,0.01609635,0.03667217,0.08055852,0.1604225,0.292205,0.4736187,0.6858947,0.9096355,1.131077,1.340028,1.535235,1.715915,1.880114,2.029396,2.162092,2.280793,2.383358,2.472685,2.548411
VIM_KPC,1.00E+04,3.065413935,-0.008558538,-0.002676346,-0.00034644,0.002636986,0.001727348,0.003262249,0.001872902,0.001305372,0.002018612,0.001675272,0.002601155,0.001964362,0.001222435,-0.001216139,0.000557314,0.000389146,-0.000794343,3.68E-07,0.000120205,0.004953606,0.01167642,0.02596591,0.05691249,0.1215824,0.2358644,0.4129013,0.6473732,0.9069895,1.172303,1.422203,1.652833,1.8584,2.043738,2.208798,2.353274,2.483644,2.600318,2.700422,2.788729,2.863381
