LoadedPanels,MeltLabels,Scaling,Conc,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39
VIM,VIM,3.170058007,1.00E+06,-0.003309278,-0.002385832,0.000542159,0.000648487,0.000731046,0.002803638,0.001323833,0.002327294,0.001705733,0.001860204,0.000800197,0.004038452,0.007519002,0.01395579,0.0290723,0.05618544,0.1081095,0.2004166,0.3478422,0.5469581,0.7776678,1.008918,1.230011,1.429246,1.613716,1.778242,1.931493,2.067129,2.196502,2.310741,2.418367,2.522085,2.612554,2.69874,2.775521,2.84792,2.917358,2.975949,3.034336,3.091613
VIM,VIM,3.185401691,5.00E+05,-0.003791442,-0.001600059,0.000137657,-0.000440753,0.002338303,0.002090946,0.00023607,0.002856532,0.002339515,-0.000385403,0.0019965,0.001785903,0.002444329,0.005965497,0.010802,0.02639689,0.05192703,0.1036037,0.1965607,0.3475426,0.5524444,0.7934622,1.034727,1.262116,1.470372,1.662682,1.83138,1.986338,2.128139,2.260784,2.38136,2.491002,2.594423,2.685421,2.771973,2.845303,2.916192,2.983547,3.043709,3.093961
VIM,VIM,3.108353974,1.00E+05,-0.000905409,-0.000973261,-0.000303665,-6.00E-05,0.002014862,-0.000480924,0.000155478,0.00011024,0.000105904,-0.000462586,0.001612527,0.00095076,0.001043706,0.000607208,0.001620549,0.003301937,0.008870799,0.01747077,0.03773848,0.07359393,0.1469284,0.265966,0.4477111,0.6728416,0.9134893,1.144986,1.361248,1.557699,1.739384,1.901389,2.053476,2.190912,2.319877,2.435982,2.54447,2.641278,2.730547,2.814077,2.889148,2.957316
VIM,VIM,2.975209488,5.00E+04,-0.001655501,-0.002200671,-0.000422089,0.000667228,0.00125965,0.001936142,0.000625078,0.000918362,0.000955242,-0.000734353,-0.000380018,0.000908469,0.000393508,-2.04E-05,0.00042368,0.00107951,0.002489696,0.0055206,0.01339801,0.02681409,0.05753589,0.116523,0.2193319,0.3797582,0.5902523,0.8220582,1.051901,1.266101,1.463504,1.64481,1.8124,1.965432,2.104128,2.231434,2.350091,2.457841,2.55583,2.641816,2.722089,2.793967
VIM,VIM,2.83543925,1.00E+04,-0.000387183,-0.000474161,0.000411708,-0.000527455,0.000487157,0.00067231,0.000123435,-0.001429535,0.000607098,-0.00029776,0.000317088,0.000242685,0.000959988,-0.000675315,0.000145742,0.000337665,0.002335729,0.000755082,0.00278289,0.004909258,0.01230528,0.02690847,0.05644962,0.1146718,0.2137363,0.3670429,0.5703821,0.7955201,1.019557,1.230926,1.42775,1.607046,1.773881,1.923613,2.062173,2.188772,2.303949,2.410356,2.505563,2.590896
VIM,VIM,2.72158855,5.00E+03,-0.008139273,-0.002339306,-0.001100933,0.000893356,0.00233008,0.002114041,0.00285702,0.001026669,0.00245917,0.001884972,0.002698419,0.001392958,0.002905927,-0.001315551,0.000469763,-0.000248498,0.000962275,-0.000719404,-0.000390161,-0.001138305,0.000975615,0.00488951,0.01393488,0.03027642,0.06330899,0.1244215,0.2309425,0.3908619,0.5910112,0.8052901,1.016691,1.2159,1.399827,1.570697,1.726184,1.871898,2.008639,2.138126,2.262102,2.377718
OXA,OXA,3.079049811,1.00E+06,-0.007073562,-0.00171834,0.001464348,0.00075251,0.002861493,0.00271386,0.002885139,0.000366834,0.000937617,0.001214696,0.000339372,0.000591451,0.002888523,0.000627317,0.0036879,0.006859299,0.01867154,0.0370565,0.07862028,0.1532925,0.2813689,0.4705654,0.6921285,0.9271966,1.150876,1.364783,1.556826,1.73157,1.891883,2.0375,2.174685,2.299513,2.409958,2.513509,2.608799,2.691363,2.766487,2.839056,2.90206,2.958012
OXA,OXA,3.037172638,5.00E+05,-0.007278453,-0.001779716,0.000829296,0.000457091,0.002479664,0.002237587,0.002246935,0.002804965,0.002019576,0.001992367,-0.000323326,0.00070524,0.000893305,-0.000545584,0.00121652,0.001404687,0.005100713,0.01380415,0.02954584,0.06436307,0.1289321,0.2440688,0.4216428,0.6380082,0.8689908,1.098841,1.309644,1.504341,1.685066,1.847828,1.999784,2.138969,2.268756,2.383106,2.489356,2.584544,2.670011,2.751221,2.82059,2.883039
VIM,VIM,3.150739493,1.00E+06,-0.001582065,-0.002507408,-0.000730801,0.000333356,0.000921184,0.001767924,0.001113602,0.002193819,0.002211998,0.001326531,0.002182089,0.00304947,0.006910692,0.01295021,0.0266694,0.05326896,0.1053118,0.1966475,0.3412257,0.5411667,0.7673752,0.9977365,1.21555,1.415052,1.597251,1.761291,1.9109,2.050157,2.178665,2.296946,2.405936,2.506622,2.598289,2.684486,2.762689,2.832955,2.897464,2.959026,3.011907,3.063803
VIM,VIM,3.034551298,5.00E+05,-0.006554551,-0.000378555,0.00069556,0.002061061,0.00122377,0.001173682,0.002471894,0.001792005,0.001532877,0.000809589,0.001720532,0.000866928,0.003502056,0.005493728,0.01292761,0.02312341,0.05119622,0.1016549,0.1891635,0.3311425,0.5214705,0.7424493,0.9657639,1.180451,1.371653,1.552156,1.71112,1.858946,1.994156,2.121183,2.233726,2.342571,2.440753,2.531561,2.613629,2.690986,2.759549,2.820206,2.879458,2.932937
